code,date,value,,,,
VIX,24/08/1990,33.93,,,,
VIX,27/08/1990,29.63,,,,
VIX,28/08/1990,29.12,,,,
VIX,29/08/1990,27.38,,,,
VIX,30/08/1990,29.89,,,,
VIX,31/08/1990,29.9,,,,
VIX,03/09/1990,.,,,,
VIX,04/09/1990,29.58,,,,
VIX,05/09/1990,28.52,,,,
VIX,06/09/1990,30.19,,,,
VIX,07/09/1990,28.73,,,,
VIX,10/09/1990,29.34,,,,
VIX,11/09/1990,28.38,,,,
VIX,12/09/1990,28.12,,,,
VIX,13/09/1990,29.33,,,,
VIX,14/09/1990,30.56,,,,
VIX,17/09/1990,29.55,,,,
VIX,18/09/1990,28.82,,,,
VIX,19/09/1990,27.88,,,,
VIX,20/09/1990,28.66,,,,
VIX,21/09/1990,30.04,,,,
VIX,24/09/1990,30.56,,,,
VIX,25/09/1990,28.81,,,,
VIX,26/09/1990,28.19,,,,
VIX,27/09/1990,28.67,,,,
VIX,28/09/1990,29.11,,,,
VIX,01/10/1990,28.06,,,,
VIX,02/10/1990,27.28,,,,
VIX,03/10/1990,27.9,,,,
VIX,04/10/1990,27.51,,,,
VIX,05/10/1990,27.85,,,,
VIX,08/10/1990,28.04,,,,
VIX,09/10/1990,30.71,,,,
VIX,10/10/1990,31.19,,,,
VIX,11/10/1990,33.98,,,,
VIX,12/10/1990,31.94,,,,
VIX,15/10/1990,31.64,,,,
VIX,16/10/1990,31.45,,,,
VIX,17/10/1990,31.37,,,,
VIX,18/10/1990,29.6,,,,
VIX,19/10/1990,27.86,,,,
VIX,22/10/1990,27.27,,,,
VIX,23/10/1990,27.57,,,,
VIX,24/10/1990,28.28,,,,
VIX,25/10/1990,29.04,,,,
VIX,26/10/1990,30.75,,,,
VIX,29/10/1990,31.54,,,,
VIX,30/10/1990,30.52,,,,
VIX,31/10/1990,30.04,,,,
VIX,01/11/1990,30.25,,,,
VIX,02/11/1990,30.03,,,,
VIX,05/11/1990,29.85,,,,
VIX,06/11/1990,29.11,,,,
VIX,07/11/1990,30.87,,,,
VIX,08/11/1990,30.79,,,,
VIX,09/11/1990,26.96,,,,
VIX,12/11/1990,25.6,,,,
VIX,13/11/1990,24.58,,,,
VIX,14/11/1990,22.89,,,,
VIX,15/11/1990,22.57,,,,
VIX,16/11/1990,21.34,,,,
VIX,19/11/1990,20.95,,,,
VIX,20/11/1990,20.09,,,,
VIX,21/11/1990,21.09,,,,
VIX,22/11/1990,.,,,,
VIX,23/11/1990,20.98,,,,
VIX,26/11/1990,22.76,,,,
VIX,27/11/1990,22.86,,,,
VIX,28/11/1990,22.96,,,,
